lat,lon,id,dest_type,name,hazard,operational
29.59515153,-95.11288663,148,primary_school,ARMAND BAYOU MONTESSORI,hurricane,FALSE
29.9377466,-95.3976872,149,primary_school,ARROW ACADEMY - HARVEST PREPARATORY ACADEMY,hurricane,FALSE
29.74023727,-95.55316249,150,primary_school,ASCENSION EPISCOPAL SCHOOL,hurricane,FALSE
29.751442,-95.577365,151,primary_school,ASKEW EL,hurricane,FALSE
29.871472,-95.387489,152,primary_school,ASSUMPTION CATHOLIC SCHOOL,hurricane,FALSE
29.77928287,-95.321203,153,primary_school,ATHERTON EL,hurricane,FALSE
29.60736686,-95.2405819,154,primary_school,ATKINSON EL,hurricane,FALSE
30.0010485,-95.734953,155,primary_school,AULT EL,hurricane,FALSE
29.67223254,-95.43684929,156,primary_school,AVONDALE HOUSE,hurricane,FALSE
29.7770024,-95.1385389,157,primary_school,B H HAMBLEN EL,hurricane,FALSE
29.67267373,-95.197903,158,primary_school,BAILEY EL,hurricane,FALSE
29.8530131,-95.52754791,159,primary_school,BANE EL,hurricane,FALSE
29.874882,-95.3698,160,primary_school,BARRICK EL,hurricane,FALSE
29.6724513,-95.2768296,161,primary_school,BASTIAN EL,hurricane,FALSE
29.7857086,-95.2460095,162,primary_school,BAY AREA MONTESSORI HOUSE,hurricane,TRUE
29.56653609,-95.02612893,163,primary_school,BAY EL,hurricane,FALSE
29.78199729,-94.96415709,164,primary_school,BAYTOWN CHRISTIAN ACADEMY,hurricane,FALSE
29.70103875,-95.34569938,165,primary_school,BEATRICE MAYES INSTITUTE CHARTER SCHOOL,hurricane,FALSE
29.64406562,-95.5497546,166,primary_school,BELL EL,hurricane,TRUE
29.716431,-95.491761,167,primary_school,BENAVIDEZ EL,hurricane,FALSE
29.827233,-95.48206,168,primary_school,BENBROOK EL,hurricane,TRUE
29.98299435,-95.4812351,169,primary_school,BENEKE EL,hurricane,FALSE
30.03491525,-95.48604868,170,primary_school,BENFER EL,hurricane,FALSE
30.090246,-95.590627,171,primary_school,BERNSHAUSEN EL,hurricane,FALSE
29.83763489,-95.3493295,172,primary_school,BERRY EL,hurricane,FALSE
29.6722326,-95.55201445,173,primary_school,BEST EL,hurricane,FALSE
29.8335759,-95.668459,174,primary_school,BIRKES EL,hurricane,FALSE
30.0243099,-95.6732211,175,primary_school,BLACK EL,hurricane,FALSE
29.9294756,-95.40438772,176,primary_school,BLACK EL,hurricane,FALSE
29.68787515,-95.5192132,177,primary_school,BONHAM EL,hurricane,TRUE
29.676315,-95.261398,178,primary_school,BONNER EL,hurricane,FALSE
29.7254898,-95.4221409,179,primary_school,BOONE EL,hurricane,FALSE
29.69547265,-95.48858125,180,primary_school,BRAEBURN EL,hurricane,FALSE
29.7492191,-95.49094179,181,primary_school,BRIARGROVE EL,hurricane,FALSE
29.725713,-95.513925,182,primary_school,BRIARMEADOW CHARTER,hurricane,FALSE
29.702507,-95.2776342,183,primary_school,BROOKLINE EL,hurricane,TRUE
29.603132,-95.10681085,184,primary_school,BROOKWOOD EL,hurricane,FALSE
29.79630207,-95.37789144,185,primary_school,BROWNING EL,hurricane,FALSE
29.8628708,-95.3342881,186,primary_school,BRUCE EL,hurricane,TRUE
29.81997825,-95.52410426,187,primary_school,BUFFALO CREEK EL,hurricane,FALSE
29.5608529,-95.11379729,188,primary_school,BUNKER HILL EL,hurricane,FALSE
29.8448741,-95.37306829,189,primary_school,BURBANK EL,hurricane,FALSE
29.74602645,-95.31857536,190,primary_school,BURNET EL,hurricane,FALSE
29.59030363,-95.20146667,191,primary_school,BURNETT ELEMENTARY,hurricane,TRUE
29.816541,-95.390843,192,primary_school,BURRUS EL,hurricane,FALSE
29.758189,-95.62546,193,primary_school,BUSH EL,hurricane,FALSE
29.7011362,-95.55368912,194,primary_school,BUSH EL,hurricane,FALSE
29.92355205,-95.40917971,195,primary_school,BUSSEY EL,hurricane,FALSE
29.73553686,-95.33363,196,primary_school,CAGE EL,hurricane,FALSE
29.9469167,-95.3579566,197,primary_school,CALVERT EL,hurricane,FALSE
29.87967405,-95.45598818,198,primary_school,CARAWAY EL,hurricane,FALSE
29.92880705,-95.48779386,199,primary_school,CARMICHAEL EL,hurricane,FALSE
29.6817073,-95.1451104,200,primary_school,CARPENTER EL,hurricane,FALSE
29.7268605,-95.310246,201,primary_school,CARRILLO EL,hurricane,FALSE
29.9182784,-95.46589782,202,primary_school,CARTER ACADEMY,hurricane,FALSE
29.8118474,-95.50355591,203,primary_school,CEDAR BROOK EL,hurricane,FALSE
29.81369384,-95.50091139,204,primary_school,CENTRAL CHRISTIAN ACADEMY,hurricane,FALSE
29.698105,-95.56645986,205,primary_school,CHAMBERS EL,hurricane,FALSE
29.70965525,-95.57627344,206,primary_school,CHANCELLOR EL,hurricane,FALSE
29.9211964,-95.6287531,207,primary_school,CHRIST THE REDEEMER,hurricane,FALSE
29.85064006,-95.4880589,208,primary_school,CHRISTIAN SCHOOL OF NORTHWEST HOUSTON,hurricane,FALSE
29.78138216,-95.19126606,209,primary_school,CIMARRON EL,hurricane,FALSE
29.83255535,-95.51649871,210,primary_school,CLAY ROAD BAPTIST SCHOOL,hurricane,FALSE
29.56652582,-95.12025748,211,primary_school,CLEAR LAKE CITY EL,hurricane,FALSE
29.7408042,-95.460888,212,primary_school,CLOUD OF LIGHT CHRISTIAN ACADEMY,hurricane,FALSE
29.77673349,-95.17598581,213,primary_school,CLOVERLEAF EL,hurricane,FALSE
29.633594,-95.344649,214,primary_school,CODWELL EL,hurricane,FALSE
29.7104093,-95.55487023,215,primary_school,COLLINS EL,hurricane,FALSE
29.94531485,-95.47157993,216,primary_school,CONLEY EL,hurricane,FALSE
29.82548135,-95.31841943,217,primary_school,COOK JR EL,hurricane,FALSE
29.85863006,-95.349809,218,primary_school,COOP EL,hurricane,FALSE
29.67707828,-95.29342447,219,primary_school,CORNELIUS EL,hurricane,FALSE
29.67516853,-95.44018073,220,primary_school,CORPUS CHRISTI CATHOLIC SCHOOL,hurricane,FALSE
29.9978436,-95.6541981,221,primary_school,COVENANT ACADEMY,hurricane,FALSE
30.14291775,-95.51346818,222,primary_school,CREEKSIDE FOREST EL,hurricane,FALSE
30.1407238,-95.5445616,223,primary_school,CREEKVIEW EL,hurricane,FALSE
29.70059558,-95.28583042,224,primary_school,CRESPO EL,hurricane,FALSE
29.77375304,-95.37949994,225,primary_school,CROCKETT EL,hurricane,FALSE
29.899556,-95.06359813,226,primary_school,CROSBY EL,hurricane,FALSE
30.1413048,-95.5080505,227,primary_school,CUNAE INTERNATIONAL SCHOOL,hurricane,FALSE
29.716673,-95.468194,228,primary_school,CUNNINGHAM EL,hurricane,FALSE
30.0206523,-95.3291055,229,primary_school,CYPRESSWOOD EL,hurricane,FALSE
29.93222595,-95.59907361,230,primary_school,DANISH EL,hurricane,FALSE
29.71449888,-95.2839556,231,primary_school,DAVILA EL,hurricane,FALSE
29.8611209,-95.3769666,232,primary_school,DE CHAUMES EL,hurricane,FALSE
29.73726141,-95.28968194,233,primary_school,DE ZAVALA EL,hurricane,FALSE
29.62563564,-95.28059807,234,primary_school,DEANDA EL,hurricane,FALSE
29.70771961,-95.16242454,235,primary_school,DEEPWATER EL,hurricane,FALSE
29.6979357,-95.1135622,236,primary_school,DEER PARK EL,hurricane,FALSE
30.0562351,-95.17281015,237,primary_school,DEERWOOD EL,hurricane,FALSE
29.96992065,-95.46500546,238,primary_school,DELORAS E THOMPSON EL,hurricane,FALSE
29.78581627,-95.32827648,239,primary_school,DOGAN EL,hurricane,FALSE
29.9649477,-95.4511683,240,primary_school,DONNA LEWIS EL,hurricane,FALSE
29.82094051,-95.17815811,241,primary_school,DR SHIRLEY J WILLIAMSON EL,hurricane,FALSE
29.777272,-95.48589455,242,primary_school,DUCHESNE ACADEMY OF THE SACRED HEART,hurricane,FALSE
29.83476377,-95.41615152,243,primary_school,DURHAM EL,hurricane,FALSE
29.867327,-95.391274,244,primary_school,DURKEE EL,hurricane,FALSE
29.9822231,-95.2765094,245,primary_school,EAGLE SPRINGS EL,hurricane,TRUE
29.935014,-95.353329,246,primary_school,ECKERT EL,hurricane,FALSE
29.81959535,-95.50847582,247,primary_school,EDGEWOOD EL,hurricane,FALSE
30.0384724,-95.52456543,248,primary_school,EHRHARDT EL,hurricane,FALSE
29.89214185,-95.49169499,249,primary_school,EILAND EL,hurricane,FALSE
29.7965844,-95.6449252,250,primary_school,ELIM CHRISTIAN SCHOOL,hurricane,TRUE
29.78092848,-95.30609395,251,primary_school,ELIOT EL,hurricane,FALSE
29.6974529,-95.2798129,252,primary_school,ELITE STEM PRI ACADEMY,hurricane,FALSE
29.6714681,-95.50113266,253,primary_school,ELROD EL,hurricane,FALSE
29.72716478,-95.53336635,254,primary_school,EMERSON EL,hurricane,FALSE
29.7254898,-95.4221409,255,primary_school,ENERGIZED FOR EXCELLENCE ACADEMY EL,hurricane,FALSE
29.9155624,-95.49789318,256,primary_school,EPPS ISLAND EL,hurricane,FALSE
29.88505775,-95.49686712,257,primary_school,ERMEL EL,hurricane,FALSE
29.8914,-95.3134,258,primary_school,ESCAMILLA EL,hurricane,FALSE
29.915051,-95.4206398,259,primary_school,ETERNITY CHRISTIAN SCHOOL,hurricane,TRUE
29.791939,-95.153261,260,primary_school,FAIRMONT EL,hurricane,FALSE
29.65620068,-95.185948,261,primary_school,FAITH CHRISTIAN ACADEMY,hurricane,FALSE
29.57544135,-95.11076682,262,primary_school,FALCON PASS EL,hurricane,FALSE
29.80074751,-95.3908509,263,primary_school,FIELD EL,hurricane,FALSE
29.7607858,-94.9824332,264,primary_school,FIRST BAPTIST ACADEMY,hurricane,FALSE
29.7817621,-95.45783189,265,primary_school,FIRST BAPTIST ACADEMY,hurricane,FALSE
29.6498995,-95.1549112,266,primary_school,FIRST BAPTIST CHRISTIAN ACADEMY,hurricane,FALSE
29.668296,-95.179645,267,primary_school,FISHER ELEMENTARY,hurricane,FALSE
29.627792,-95.4990194,268,primary_school,FONDREN EL,hurricane,FALSE
30.0425258,-95.2235672,269,primary_school,FOSTER EL,hurricane,FALSE
29.69172729,-95.36114979,270,primary_school,FOSTER EL,hurricane,FALSE
29.9688236,-95.5638485,271,primary_school,FRANCONE EL,hurricane,FALSE
29.739082,-95.29817,272,primary_school,FRANKLIN EL,hurricane,FALSE
29.5880046,-95.22681913,273,primary_school,FRAZIER EL,hurricane,FALSE
29.64592357,-95.23291757,274,primary_school,FREEMAN EL,hurricane,TRUE
30.12947,-95.50843272,275,primary_school,FRENCH EL,hurricane,FALSE
29.62088494,-95.33735484,276,primary_school,FROST EL,hurricane,FALSE
29.560331,-95.128489,277,primary_school,G H WHITCOMB EL,hurricane,FALSE
29.7335616,-95.2302123,278,primary_school,GALENA PARK EL,hurricane,FALSE
29.73310286,-95.29366614,279,primary_school,GALLEGOS EL,hurricane,FALSE
29.84888886,-95.34906894,280,primary_school,GARCIA EL,hurricane,FALSE
29.82268917,-95.41290993,281,primary_school,GARDEN OAKS MONTESSORI,hurricane,FALSE
29.63479457,-95.23069336,282,primary_school,GARFIELD EL,hurricane,FALSE
29.8834615,-95.1547833,283,primary_school,GARRETT EL,hurricane,FALSE
29.622653,-95.2853893,284,primary_school,GENESIS CHRISTIAN SCHOOL,hurricane,FALSE
29.62275,-95.201904,285,primary_school,GENOA EL,hurricane,FALSE
30.05626575,-95.42257244,286,primary_school,GINGER MCNABB EL,hurricane,FALSE
29.9029137,-95.55799894,287,primary_school,GLEASON EL,hurricane,FALSE
29.67047958,-95.16175523,288,primary_school,GOLDEN ACRES EL,hurricane,FALSE
29.68922185,-95.29448529,289,primary_school,GOLFCREST EL,hurricane,FALSE
29.8966734,-95.42371133,290,primary_school,GOODMAN EL,hurricane,FALSE
29.6016949,-95.2599342,291,primary_school,GOUDEAU ACCELERATED PREPARATORY ACADEMY,hurricane,TRUE
29.78875945,-94.96393664,292,primary_school,GRACE ACADEMY,hurricane,FALSE
29.57896806,-95.15213939,293,primary_school,GRACE CHRISTIAN ACADEMY,hurricane,FALSE
29.73995396,-95.55559714,294,primary_school,GRACE SCHOOL,hurricane,FALSE
29.9157849,-95.43173453,295,primary_school,GRAY EL,hurricane,FALSE
29.792211,-95.18867,296,primary_school,GREEN VALLEY EL,hurricane,FALSE
29.672341,-95.309845,297,primary_school,GREGG EL,hurricane,FALSE
29.75679,-95.385605,298,primary_school,GREGORY-LINCOLN ED CTR,hurricane,FALSE
29.619843,-95.454087,299,primary_school,GRISSOM EL,hurricane,FALSE
29.6391406,-95.52793182,300,primary_school,GROSS EL,hurricane,FALSE
29.85541711,-95.21345291,301,primary_school,H M CARROLL EL,hurricane,TRUE
29.782079,-95.6173502,302,primary_school,HAIRGROVE EL,hurricane,TRUE
29.9680341,-95.5565032,303,primary_school,HANCOCK EL,hurricane,FALSE
29.8658292,-95.4825354,304,primary_school,HARMONY SCHOOL OF ENDEAVOR-HOUSTON,hurricane,FALSE
