id_orig,key_0,medical_clinic,primary_school,supermarket,population
7024422,7024422,958.6,475.7,1725.3,171
7024423,7024423,771.9,592.2,2266.9,153
7024424,7024424,522.0,835.7,2303.5,144
7024425,7024425,599.2,419.6,2094.3,159
7024426,7024426,448.6,762.2,2230.1,153
7024427,7024427,652.2,937.6,2433.7,120
7024428,7024428,442.4,756.0,2223.8,192
7024429,7024429,537.3,851.0,2318.8,129
7024430,7024430,592.0,905.6,2373.5,120
7024431,7024431,757.4,700.1,1794.6,195
7024432,7024432,1108.7,1051.3,2145.9,264
7024433,7024433,7599.3,7385.8,7755.1,135
7024434,7024434,622.8,1723.1,2422.7,141
7024435,7024435,298.1,1398.4,2098.0,204
7024436,7024436,2518.4,1996.0,2286.0,129
7024437,7024437,495.7,1036.2,1735.8,123
7024438,7024438,1283.7,761.2,1460.8,210
7024439,7024439,1503.2,980.8,597.9,141
7024440,7024440,434.2,1534.5,2234.1,96
7024441,7024441,90.6,1244.5,1944.1,174
7024442,7024442,489.7,1007.6,1707.2,126
7024443,7024443,621.3,1139.2,1838.8,147
7024444,7024444,710.5,1228.4,1928.0,150
7024445,7024445,905.5,883.8,1583.4,135
7024446,7024446,1011.9,990.2,1689.8,120
7024447,7024447,1714.6,1192.2,780.9,189
7024448,7024448,1847.4,1825.6,1967.7,216
7024449,7024449,1573.2,1050.8,639.4,162
7024450,7024450,2114.6,1961.8,299.8,90
7024451,7024451,1814.2,1609.6,3309.2,168
7024452,7024452,1709.2,1836.3,3204.3,135
7024453,7024453,1742.4,1396.4,3237.4,204
7024454,7024454,1512.2,1760.2,3007.2,135
7024455,7024455,1302.8,1344.2,2797.8,120
7024456,7024456,1767.6,1342.6,3324.2,108
7024457,7024457,1567.6,1081.0,3062.6,123
7024458,7024458,1301.1,1314.9,2796.1,111
7024459,7024459,1496.7,1038.8,2991.7,156
7024460,7024460,1304.7,818.2,2799.8,93
7024461,7024461,1447.9,961.4,2943.0,228
7024462,7024462,1224.2,737.7,2719.3,189
7024463,7024463,1502.2,1015.6,2997.2,192
7024464,7024464,816.1,329.6,2311.1,165
7024465,7024465,1150.7,664.2,2645.7,126
7024466,7024466,1354.1,867.5,2849.1,135
7024467,7024467,905.4,418.8,2400.4,138
