osmid,from_
100327763,100327763.0
6103847400,6103847400.0
6103844853,6103844853.0
6103844835,6103844835.0
6112137478,6112137478.0
251526218,251526218.0
6103847453,6103847453.0
251524248,251524248.0
7089984284,7089984284.0
324827495,324827495.0
251524179,251524179.0
251524172,251524172.0
324827495,324827495.0
1171698254,1171698254.0
6112137544,6112137544.0
251524248,251524248.0
4851093697,4851093697.0
6112137560,6112137560.0
6113135765,6113135765.0
30490321,30490321.0
30490324,30490324.0
4881039451,4881039451.0
1150252206,1150252206.0
2438136470,2438136470.0
260036672,260036672.0
362888484,362888484.0
6103364118,6103364118.0
1175730345,1175730345.0
6374816783,6374816783.0
301105809,301105809.0
104540677,104540677.0
104524410,104524410.0
5785712503,5785712503.0
6852965272,6852965272.0
1181760074,1181760074.0
4437028855,4437028855.0
251386324,251386324.0
1181759843,1181759843.0
6852965274,6852965274.0
6852965276,6852965276.0
5164566815,5164566815.0
251519164,251519164.0
6853007793,6853007793.0
1181759899,1181759899.0
1181760208,1181760208.0
6853001635,6853001635.0
1181767034,1181767034.0
1181760318,1181760318.0
6853001633,6853001633.0
1181760062,1181760062.0
6852965284,6852965284.0
1181723242,1181723242.0
1181723249,1181723249.0
1182022702,1182022702.0
108018035,108018035.0
249800943,249800943.0
249801184,249801184.0
923900812,923900812.0
249800814,249800814.0
249800943,249800943.0
249800630,249800630.0
249800814,249800814.0
108018047,108018047.0
249800630,249800630.0
249799978,249799978.0
249799977,249799977.0
6853007805,6853007805.0
1181760292,1181760292.0
6852965276,6852965276.0
100324250,100324250.0
1181760155,1181760155.0
1181760075,1181760075.0
1181760016,1181760016.0
6853007793,6853007793.0
1181760062,1181760062.0
1183156353,1183156353.0
6853007788,6853007788.0
6853007805,6853007805.0
100332085,100332085.0
6852965273,6852965273.0
6853007803,6853007803.0
182786373,182786373.0
185948461,185948461.0
1181760208,1181760208.0
100319384,100319384.0
446011371,446011371.0
6853001635,6853001635.0
5873089402,5873089402.0
5873089474,5873089474.0
5873089491,5873089491.0
100365949,100365949.0
2438249246,2438249246.0
6852965279,6852965279.0
2438322081,2438322081.0
6194032553,6194032553.0
4757157308,4757157308.0
4826380203,4826380203.0
3102554136,3102554136.0
312425808,312425808.0
801945064,801945064.0
5797130484,5797130484.0
312425808,312425808.0
5015593547,5015593547.0
182890692,182890692.0
6103847494,6103847494.0
6103847490,6103847490.0
4380524233,4380524233.0
6103847494,6103847494.0
6112820841,6112820841.0
6112820848,6112820848.0
6112820842,6112820842.0
6112820843,6112820843.0
6112820843,6112820843.0
100327758,100327758.0
4139638825,4139638825.0
444311423,444311423.0
5785284820,5785284820.0
5785284823,5785284823.0
5785284816,5785284816.0
1527894913,1527894913.0
5785284963,5785284963.0
31900517,31900517.0
251852439,251852439.0
5055285830,5055285830.0
5055285828,5055285828.0
6101594706,6101594706.0
5468562274,5468562274.0
5055285837,5055285837.0
5055285827,5055285827.0
1527894913,1527894913.0
5055285838,5055285838.0
6101594706,6101594706.0
104536659,104536659.0
2122203177,2122203177.0
2122203232,2122203232.0
104536661,104536661.0
2122203199,2122203199.0
2122203230,2122203230.0
7089984245,7089984245.0
104540668,104540668.0
104542597,104542597.0
184099943,184099943.0
184113828,184113828.0
6101942544,6101942544.0
6101942546,6101942546.0
4437028856,4437028856.0
6101942544,6101942544.0
4437028856,4437028856.0
6101942550,6101942550.0
6101942550,6101942550.0
4437028856,4437028856.0
6101942562,6101942562.0
6101942562,6101942562.0
6852965271,6852965271.0
7159867223,7159867223.0
3627105963,3627105963.0
3627086149,3627086149.0
1181640320,1181640320.0
1181662811,1181662811.0
1181640291,1181640291.0
6852965246,6852965246.0
1181815053,1181815053.0
251389241,251389241.0
251389236,251389236.0
1173111702,1173111702.0
1173111738,1173111738.0
251389241,251389241.0
1173111738,1173111738.0
1173111771,1173111771.0
1173111779,1173111779.0
7726212140,7726212140.0
251388103,251388103.0
4440235201,4440235201.0
108020998,108020998.0
6106189278,6106189278.0
108021002,108021002.0
108023888,108023888.0
108023908,108023908.0
173724472,173724472.0
281393649,281393649.0
1171277308,1171277308.0
1171676546,1171676546.0
297884167,297884167.0
297821528,297821528.0
5152777992,5152777992.0
7213696664,7213696664.0
4760914649,4760914649.0
260037080,260037080.0
4068147347,4068147347.0
4037579903,4037579903.0
3540611881,3540611881.0
31942967,31942967.0
1182057361,1182057361.0
7663798663,7663798663.0
2038490424,2038490424.0
5766987148,5766987148.0
182787090,182787090.0
1181815143,1181815143.0
2438322081,2438322081.0
6958663149,6958663149.0
297882276,297882276.0
4037693290,4037693290.0
291567642,291567642.0
281392704,281392704.0
2444299076,2444299076.0
257908786,257908786.0
31246753,31246753.0
1184861952,1184861952.0
5381803601,5381803601.0
2134607956,2134607956.0
6174035881,6174035881.0
6174035885,6174035885.0
6174035885,6174035885.0
6174035881,6174035881.0
6174035869,6174035869.0
6174035904,6174035904.0
5900050353,5900050353.0
6174035905,6174035905.0
2134597171,2134597171.0
2134597215,2134597215.0
6174035869,6174035869.0
2140961556,2140961556.0
5015593680,5015593680.0
5015593693,5015593693.0
5015593669,5015593669.0
6174035922,6174035922.0
2134607847,2134607847.0
2134607956,2134607956.0
6174035923,6174035923.0
5381803601,5381803601.0
6038245432,6038245432.0
6038245441,6038245441.0
6038245434,6038245434.0
182893379,182893379.0
182893230,182893230.0
6038245441,6038245441.0
6185393517,6185393517.0
1181658260,1181658260.0
6872453059,6872453059.0
4018483995,4018483995.0
31943492,31943492.0
6038246698,6038246698.0
4605390043,4605390043.0
6038245475,6038245475.0
6038246711,6038246711.0
305588172,305588172.0
4605390037,4605390037.0
6038246689,6038246689.0
108027470,108027470.0
6549033369,6549033369.0
6549033368,6549033368.0
30489105,30489105.0
6549057071,6549057071.0
6479830404,6479830404.0
182912546,182912546.0
5015593693,5015593693.0
3102554149,3102554149.0
5797131191,5797131191.0
7374923711,7374923711.0
5797131191,5797131191.0
312426749,312426749.0
5367658172,5367658172.0
2126009148,2126009148.0
1166260425,1166260425.0
7448024151,7448024151.0
250051110,250051110.0
1193861583,1193861583.0
6106189278,6106189278.0
104533885,104533885.0
4605389974,4605389974.0
6185393575,6185393575.0
6038246698,6038246698.0
182893020,182893020.0
6038246711,6038246711.0
182893230,182893230.0
182893379,182893379.0
6853001632,6853001632.0
6853001631,6853001631.0
1181767077,1181767077.0
250047629,250047629.0
250047424,250047424.0
250047400,250047400.0
2442156197,2442156197.0
2126011282,2126011282.0
6853001632,6853001632.0
1185505260,1185505260.0
250047404,250047404.0
4666185215,4666185215.0
