,sim_ede,base_ede,sim_mean,base_mean,dest_type,population_group,state,hazard
42,1531.862621874981,1412.1681791290791,1272.3619680406496,1160.1262761955938,medical_clinic,latino,ch,tsunami
43,1457.575798096512,1369.9983360153421,1209.8608433480883,1113.6827512090274,primary_school,latino,ch,tsunami
44,2360.8717965168785,2292.799088720964,1821.30556355535,1673.1903815153144,supermarket,latino,ch,tsunami
45,1767.9718410679718,1612.1328102787372,1484.2676703631787,1327.6140757607118,medical_clinic,polynesian,ch,tsunami
46,1874.0199665714526,1470.5502666814102,1593.5919813670382,1181.3556613537571,primary_school,polynesian,ch,tsunami
47,2675.051455254725,2452.3944219853297,2171.503997191628,1924.1669219623266,supermarket,polynesian,ch,tsunami
48,2120.018586050044,1909.6386297455767,1785.8793745561384,1585.4902988670094,medical_clinic,total_pop,ch,tsunami
49,2015.3081868008387,1796.5894666634524,1686.7285973494766,1473.1479212967997,primary_school,total_pop,ch,tsunami
50,3062.650248191532,2786.377138754618,2509.828541254801,2233.8729698646316,supermarket,total_pop,ch,tsunami
51,2266.619145383957,2019.6107788628888,1919.2295998152872,1684.1879971063038,medical_clinic,white,ch,tsunami
52,2123.6618797435094,1887.9797093427685,1783.3946662917465,1554.5346787699807,primary_school,white,ch,tsunami
53,3265.6808832134666,2939.5650610944613,2693.723187251987,2371.8387735484444,supermarket,white,ch,tsunami
54,7951.615016459385,6498.058797431481,7296.1148875091485,6038.098997926478,medical_clinic,african_american,tx,hurricane
55,3279.6414762953336,2439.903710729664,2893.8547066031606,2202.5226622582827,primary_school,african_american,tx,hurricane
56,4758.183659222888,3746.516272121271,4266.710403886982,3465.9504042594895,supermarket,african_american,tx,hurricane
57,6535.448559550038,5376.948960637,5945.632962772438,4941.064078061274,medical_clinic,asian,tx,hurricane
58,3454.757570969181,2500.683497712811,3048.8738651575395,2270.5723426286004,primary_school,asian,tx,hurricane
59,2929.171160873663,2487.1457920396915,2676.8936128878313,2314.064689446394,supermarket,asian,tx,hurricane
60,8361.839529918656,6510.523362570681,7564.424730721077,5955.030886431583,medical_clinic,indigenous,tx,hurricane
61,3407.0276780707018,2584.869022846143,2935.9921649236067,2205.854187227605,primary_school,indigenous,tx,hurricane
62,4365.9188792127725,3327.209075893704,3855.8841194730153,3027.56188092065,supermarket,indigenous,tx,hurricane
63,8434.573790307853,6538.761494237649,7655.196580293805,5992.308880194312,medical_clinic,latino,tx,hurricane
64,3122.2660489020327,2311.7393423244953,2705.010968095638,2032.115204362444,primary_school,latino,tx,hurricane
65,4208.542526173695,3252.4076328273864,3751.5509963662766,2979.5331466791104,supermarket,latino,tx,hurricane
66,8534.801418069605,6672.4532503325745,7816.9306519129395,6190.750463883367,medical_clinic,polynesian,tx,hurricane
67,3865.117658186898,2831.6971302997276,3428.1655660961196,2559.858880053015,primary_school,polynesian,tx,hurricane
68,3774.978156546169,3139.4108213529953,3386.4288060005856,2864.013220675944,supermarket,polynesian,tx,hurricane
69,8057.274173074688,6390.836770198987,7287.160856438453,5829.331053603713,medical_clinic,total_pop,tx,hurricane
70,3482.316847881832,2679.6967114200384,3023.867334284638,2320.127746643277,primary_school,total_pop,tx,hurricane
71,4061.8577964765313,3243.040113265597,3605.2243022863245,2941.560407227048,supermarket,total_pop,tx,hurricane
72,8198.362329561849,6441.794997944162,7381.713849729491,5837.017084049388,medical_clinic,white,tx,hurricane
73,3642.9276733221486,2847.1382144393783,3153.3345320939025,2445.645294609396,primary_school,white,tx,hurricane
74,3887.781261226383,3144.0814680294643,3441.8120920327083,2823.670598932991,supermarket,white,tx,hurricane
75,1616.9885331740152,1439.3060618421732,1477.962133305171,1327.1908994558019,medical_clinic,african_american,wa,liquefaction
76,14431.819501482738,1152.2873702329887,1155.872742755547,1089.9281046817357,primary_school,african_american,wa,liquefaction
77,7851.671698845345,1155.2730696648887,1198.3023523193099,1082.989774371726,supermarket,african_american,wa,liquefaction
78,1750.725410936939,1601.393933329475,1601.4556060509822,1478.2164677413698,medical_clinic,asian,wa,liquefaction
79,14700.819061638927,1214.671287197073,1172.3090398059694,1126.1688671194604,primary_school,asian,wa,liquefaction
80,8445.356689969969,1176.0993154811263,1145.6905628729583,1080.5330488760037,supermarket,asian,wa,liquefaction
81,1541.7359742030187,1392.6269439675646,1395.7483721273888,1264.6841975814716,medical_clinic,indigenous,wa,liquefaction
82,1320.9433068960784,1252.4631913147082,1253.9763497466145,1181.6922525107605,primary_school,indigenous,wa,liquefaction
83,1189.23432088659,1102.3271374420026,1109.2652511665726,1023.2394548063129,supermarket,indigenous,wa,liquefaction
84,1664.3948492398633,1496.0170152467217,1513.7084238620453,1361.2258274751025,medical_clinic,latino,wa,liquefaction
85,1288.5362024940853,1202.4991320362974,1223.3801906761832,1134.074960945128,primary_school,latino,wa,liquefaction
86,1232.2656987575738,1152.869826363669,1152.4743896571345,1072.7477763132201,supermarket,latino,wa,liquefaction
87,1859.3777592174552,1645.2997496989992,1708.4266725311763,1515.7733526730212,medical_clinic,polynesian,wa,liquefaction
88,1297.0864301824286,1192.5647885106625,1230.2507285146137,1122.3857853294653,primary_school,polynesian,wa,liquefaction
89,1393.4441127745556,1290.4378683277876,1302.8843360891306,1205.0599254040615,supermarket,polynesian,wa,liquefaction
90,1682.4522147544872,1528.4148670396157,1528.3171704748484,1403.7711204459033,medical_clinic,total_pop,wa,liquefaction
91,14380.706512535591,1188.8128212846343,1163.289406810375,1114.5265913744352,primary_school,total_pop,wa,liquefaction
92,8056.9344784038385,1156.3919777082644,1134.2766438861113,1073.6282938997042,supermarket,total_pop,wa,liquefaction
93,1678.1457938071514,1527.2911597910495,1521.0709147481086,1401.6481270564414,medical_clinic,white,wa,liquefaction
94,14429.44264478893,1186.7860524517375,1157.7494364972697,1113.62027545769,primary_school,white,wa,liquefaction
95,8096.785015878149,1151.9413181051443,1122.0149778448501,1070.4870114926368,supermarket,white,wa,liquefaction
