,Unnamed: 0,city,hazard,service,ethnicity,distance,pop_perc_cum,pop_perc
222,222,christchurch,base,supermarket,polynesian,13.811444,99.56530739,0.020699648
223,223,christchurch,base,supermarket,polynesian,14.436546,99.68950528,0.124197889
250,250,christchurch,base,supermarket,meela,0.0592,14.56206341,14.56206341
251,251,christchurch,base,supermarket,meela,0.684302,48.62976894,34.06770553
252,252,christchurch,base,supermarket,meela,1.309404,75.65824825,27.02847931
253,253,christchurch,base,supermarket,meela,1.934506,87.7485223,12.09027405
254,254,christchurch,base,supermarket,meela,2.559608,93.44438474,5.69586244
255,255,christchurch,base,supermarket,meela,3.18471,96.45351961,3.009134874
256,256,christchurch,base,supermarket,meela,3.809812,97.04459968,0.591080064
257,257,christchurch,base,supermarket,meela,4.434914,97.15206878,0.107469103
258,258,christchurch,base,supermarket,meela,5.060016,97.9043525,0.752283718
259,259,christchurch,base,supermarket,meela,5.685118,98.0118216,0.107469103
260,260,christchurch,base,supermarket,meela,6.31022,98.33422891,0.322407308
261,261,christchurch,base,supermarket,meela,6.935322,98.38796346,0.053734551
262,262,christchurch,base,supermarket,meela,7.560424,98.49543256,0.107469103
263,263,christchurch,base,supermarket,meela,8.185526,98.65663622,0.161203654
264,264,christchurch,base,supermarket,meela,8.810628,98.87157442,0.214938205
265,265,christchurch,base,supermarket,meela,9.43573,99.14024718,0.268672757
266,266,christchurch,base,supermarket,meela,10.060832,99.40891994,0.268672757
267,267,christchurch,base,supermarket,meela,10.685934,99.40891994,0.0
268,268,christchurch,base,supermarket,meela,11.311036,99.51638904,0.107469103
269,269,christchurch,base,supermarket,meela,11.936138,99.62385814,0.107469103
270,270,christchurch,base,supermarket,meela,12.56124,99.73132724,0.107469103
271,271,christchurch,base,supermarket,meela,13.186342,99.73132724,0.0
272,272,christchurch,base,supermarket,meela,13.811444,99.73132724,0.0
273,273,christchurch,base,supermarket,meela,14.436546,99.78506179,0.053734551
300,300,christchurch,base,primary_school,all,0.0031,3.745551187,3.745551187
301,301,christchurch,base,primary_school,all,0.289662,17.47120899,13.7256578
302,302,christchurch,base,primary_school,all,0.576224,40.30896912,22.83776013
303,303,christchurch,base,primary_school,all,0.862786,60.7587461,20.44977698
304,304,christchurch,base,primary_school,all,1.149348,75.06255537,14.30380927
305,305,christchurch,base,primary_school,all,1.43591,82.13714002,7.074584648
306,306,christchurch,base,primary_school,all,1.722472,87.247253,5.110112988
307,307,christchurch,base,primary_school,all,2.009034,89.66865082,2.421397821
308,308,christchurch,base,primary_school,all,2.295596,90.88168099,1.213030166
309,309,christchurch,base,primary_school,all,2.582158,92.15143838,1.269757394
310,310,christchurch,base,primary_school,all,2.86872,93.04586357,0.89442519
311,311,christchurch,base,primary_school,all,3.155282,93.72270488,0.676841304
312,312,christchurch,base,primary_school,all,3.441844,94.09726,0.374555119
313,313,christchurch,base,primary_school,all,3.728406,94.40187744,0.304617441
314,314,christchurch,base,primary_school,all,4.014968,94.73446995,0.332592512
315,315,christchurch,base,primary_school,all,4.30153,95.01655192,0.282081967
316,316,christchurch,base,primary_school,all,4.588092,95.28620052,0.269648602
317,317,christchurch,base,primary_school,all,4.874654,95.62423263,0.338032109
318,318,christchurch,base,primary_school,all,5.161216,96.00034192,0.376109289
319,319,christchurch,base,primary_school,all,5.447778,96.02365448,0.023312559
320,320,christchurch,base,primary_school,all,5.73434,96.02365448,0.0
321,321,christchurch,base,primary_school,all,6.020902,96.08349005,0.059835569
322,322,christchurch,base,primary_school,all,6.307464,96.13555476,0.052064716
323,323,christchurch,base,primary_school,all,6.594026,96.38966166,0.254106896
324,324,christchurch,base,primary_school,all,6.880588,96.38966166,0.0
325,325,christchurch,base,primary_school,all,7.16715,96.64920815,0.259546493
326,326,christchurch,base,primary_school,all,7.453712,96.91030881,0.261100664
327,327,christchurch,base,primary_school,all,7.740274,97.30273689,0.392428081
328,328,christchurch,base,primary_school,all,8.026836,97.45349144,0.15075455
329,329,christchurch,base,primary_school,all,8.313398,97.78452979,0.331038341
330,330,christchurch,base,primary_school,all,8.59996,98.00289076,0.218360972
331,331,christchurch,base,primary_school,all,8.886522,98.30129152,0.298400758
332,332,christchurch,base,primary_school,all,9.173084,98.33548327,0.034191754
333,333,christchurch,base,primary_school,all,9.459646,98.46214817,0.126664905
334,334,christchurch,base,primary_school,all,9.746208,98.62766735,0.165519171
335,335,christchurch,base,primary_school,all,10.03277,98.66962995,0.041962607
336,336,christchurch,base,primary_school,all,10.319332,98.75044682,0.080816872
337,337,christchurch,base,primary_school,all,10.605894,98.94005564,0.189608815
338,338,christchurch,base,primary_school,all,10.892456,99.01776417,0.077708531
339,339,christchurch,base,primary_school,all,11.179018,99.18950002,0.171735853
340,340,christchurch,base,primary_school,all,11.46558,99.34336291,0.153862891
341,341,christchurch,base,primary_school,all,11.752142,99.39076512,0.047402204
342,342,christchurch,base,primary_school,all,12.038704,99.41874019,0.027975071
343,343,christchurch,base,primary_school,all,12.325266,99.41874019,0.0
344,344,christchurch,base,primary_school,all,12.611828,99.50344249,0.084702299
345,345,christchurch,base,primary_school,all,12.89839,99.70470758,0.201265095
346,346,christchurch,base,primary_school,all,13.184952,99.70470758,0.0
347,347,christchurch,base,primary_school,all,13.471514,99.88188303,0.17717545
348,348,christchurch,base,primary_school,all,13.758076,99.92695398,0.045070948
349,349,christchurch,base,primary_school,all,14.044638,100.0,0.073046019
350,350,christchurch,base,primary_school,white,0.0031,3.587390619,3.587390619
351,351,christchurch,base,primary_school,white,0.289662,16.77253763,13.18514701
352,352,christchurch,base,primary_school,white,0.576224,38.99354864,22.22101101
353,353,christchurch,base,primary_school,white,0.862786,59.07897214,20.0854235
354,354,christchurch,base,primary_school,white,1.149348,73.26601195,14.18703981
355,355,christchurch,base,primary_school,white,1.43591,80.3169192,7.050907253
356,356,christchurch,base,primary_school,white,1.722472,85.76935655,5.452437345
357,357,christchurch,base,primary_school,white,2.009034,88.2299894,2.460632847
358,358,christchurch,base,primary_school,white,2.295596,89.51233289,1.282343498
359,359,christchurch,base,primary_school,white,2.582158,90.9770189,1.464686004
360,360,christchurch,base,primary_school,white,2.86872,91.98584864,1.008829738
361,361,christchurch,base,primary_school,white,3.155282,92.77765115,0.791802515
362,362,christchurch,base,primary_school,white,3.441844,93.17305691,0.395405762
363,363,christchurch,base,primary_school,white,3.728406,93.53675093,0.363694021
364,364,christchurch,base,primary_school,white,4.014968,93.93413868,0.397387745
365,365,christchurch,base,primary_school,white,4.30153,94.25720203,0.323063354
366,366,christchurch,base,primary_school,white,4.588092,94.57233745,0.315135419
367,367,christchurch,base,primary_school,white,4.874654,94.96576123,0.393423778
368,368,christchurch,base,primary_school,white,5.161216,95.3968427,0.431081469
369,369,christchurch,base,primary_school,white,5.447778,95.42558146,0.028738765
370,370,christchurch,base,primary_school,white,5.73434,95.42558146,0.0
371,371,christchurch,base,primary_school,white,6.020902,95.4949509,0.069369432
372,372,christchurch,base,primary_school,white,6.307464,95.5554014,0.060450505
373,373,christchurch,base,primary_school,white,6.594026,95.85368996,0.298288557
374,374,christchurch,base,primary_school,white,6.880588,95.85368996,0.0
375,375,christchurch,base,primary_school,white,7.16715,96.15594248,0.302252525
376,376,christchurch,base,primary_school,white,7.453712,96.45621302,0.300270541
377,377,christchurch,base,primary_school,white,7.740274,96.90612334,0.449910315
378,378,christchurch,base,primary_school,white,8.026836,97.07855593,0.172432588
379,379,christchurch,base,primary_school,white,8.313398,97.45909681,0.380540883
380,380,christchurch,base,primary_school,white,8.59996,97.70981776,0.250720947
381,381,christchurch,base,primary_school,white,8.886522,98.04972797,0.339910216
382,382,christchurch,base,primary_school,white,9.173084,98.09134963,0.041621659
383,383,christchurch,base,primary_school,white,9.459646,98.23207048,0.140720847
384,384,christchurch,base,primary_school,white,9.746208,98.41639497,0.18432449
385,385,christchurch,base,primary_school,white,10.03277,98.4619806,0.045585627
386,386,christchurch,base,primary_school,white,10.319332,98.55612483,0.094144229
387,387,christchurch,base,primary_school,white,10.605894,98.77315205,0.217027223
388,388,christchurch,base,primary_school,white,10.892456,98.85441338,0.081261334
389,389,christchurch,base,primary_school,white,11.179018,99.0595487,0.20513532
390,390,christchurch,base,primary_school,white,11.46558,99.23396327,0.174414572
391,391,christchurch,base,primary_school,white,11.752142,99.29044981,0.056486537
392,392,christchurch,base,primary_school,white,12.038704,99.32017957,0.029729757
393,393,christchurch,base,primary_school,white,12.325266,99.32017957,0.0
394,394,christchurch,base,primary_school,white,12.611828,99.41729677,0.097117205
395,395,christchurch,base,primary_school,white,12.89839,99.65315284,0.235856068
396,396,christchurch,base,primary_school,white,13.184952,99.65315284,0.0
397,397,christchurch,base,primary_school,white,13.471514,99.86720709,0.214054247
398,398,christchurch,base,primary_school,white,13.758076,99.91675668,0.049549594
399,399,christchurch,base,primary_school,white,14.044638,100.0,0.083243318
400,400,christchurch,base,primary_school,maori,0.0031,3.873845672,3.873845672
401,401,christchurch,base,primary_school,maori,0.289662,17.03709501,13.16324933
402,402,christchurch,base,primary_school,maori,0.576224,40.10017217,23.06307716
403,403,christchurch,base,primary_school,maori,0.862786,62.27891689,22.17874472
404,404,christchurch,base,primary_school,maori,1.149348,76.81953357,14.54061668
405,405,christchurch,base,primary_school,maori,1.43591,84.10549382,7.285960244
406,406,christchurch,base,primary_school,maori,1.722472,88.66019721,4.554703396
407,407,christchurch,base,primary_school,maori,2.009034,90.76537799,2.105180779
408,408,christchurch,base,primary_school,maori,2.295596,91.67318829,0.907810299
409,409,christchurch,base,primary_school,maori,2.582158,92.51056503,0.837376741
